condition_id,main_direction,main_intensity,fill_intensity,back_intensity,spot_angle,softness,main_penumbra,area_width,area_height,brightness_category,darkness_pattern,replacement
condition_001,left45,180,70,50,0.25,hard,0.1,0.75,0.75,,,false
condition_002,left45,180,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_003,left45,180,70,130,0.25,soft,0.65,2.5,2.5,,,false
condition_004,left45,180,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_005,left45,300,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_006,left45,300,160,50,0.25,soft,0.65,2.5,2.5,,,false
condition_007,left45,300,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_008,left45,300,160,130,0.25,hard,0.1,0.75,0.75,,,false
condition_009,left45,55,20,10,0.25,hard,0.1,0.75,0.75,very_dark,overall_dark,true
condition_010,left45,90,35,20,0.5,hard,0.1,0.75,0.75,dark,overall_dark,true
condition_011,left45,16,3,3,0.25,soft,0.65,2.5,2.5,extreme_dark,near_black_overall,true
condition_012,left45,10,0,2,0.5,soft,0.65,2.5,2.5,extreme_dark,near_black_frontless,true
condition_013,left25,180,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_014,left25,180,160,50,0.25,soft,0.65,2.5,2.5,,,false
condition_015,left25,180,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_016,left25,180,160,130,0.25,hard,0.1,0.75,0.75,,,false
condition_017,left25,300,70,50,0.25,hard,0.1,0.75,0.75,,,false
condition_018,left25,300,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_019,left25,300,70,130,0.25,soft,0.65,2.5,2.5,,,false
condition_020,left25,300,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_021,left25,420,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_022,left25,85,55,25,0.25,soft,0.65,2.5,2.5,dark,overall_dark,true
condition_023,left25,420,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_024,right45,170,20,30,0.25,hard,0.1,0.75,0.75,slightly_dark,left_side_dark,true
condition_025,front,180,70,50,0.25,hard,0.1,0.75,0.75,,,false
condition_026,front,180,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_027,front,180,70,130,0.25,soft,0.65,2.5,2.5,,,false
condition_028,front,180,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_029,front,300,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_030,front,300,160,50,0.25,soft,0.65,2.5,2.5,,,false
condition_031,front,300,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_032,front,300,160,130,0.25,hard,0.1,0.75,0.75,,,false
condition_033,left45,110,15,30,0.25,hard,0.1,0.75,0.75,dark,right_side_dark,true
condition_034,right45,24,0,2,0.5,hard,0.1,0.75,0.75,extreme_dark,near_black_side,true
condition_035,left45,190,20,25,0.25,soft,0.65,0.75,0.75,slightly_dark,right_side_dark,true
condition_036,front,420,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_037,right25,180,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_038,right25,180,160,50,0.25,soft,0.65,2.5,2.5,,,false
condition_039,right25,180,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_040,right25,180,160,130,0.25,hard,0.1,0.75,0.75,,,false
condition_041,right25,300,70,50,0.25,hard,0.1,0.75,0.75,,,false
condition_042,right25,300,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_043,right25,300,70,130,0.25,soft,0.65,2.5,2.5,,,false
condition_044,right25,300,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_045,right25,420,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_046,front,2,0,24,0.42,soft,0.65,0.75,0.75,extreme_dark,near_black_backlight,true
condition_047,right25,420,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_048,front,20,10,160,0.42,hard,0.1,0.75,0.75,dark,backlight_rim,true
condition_049,right45,180,70,50,0.25,hard,0.1,0.75,0.75,,,false
condition_050,right45,180,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_051,right45,180,70,130,0.25,soft,0.65,2.5,2.5,,,false
condition_052,right45,180,160,130,0.5,soft,0.65,2.5,2.5,,,false
condition_053,right45,300,70,50,0.5,soft,0.65,2.5,2.5,,,false
condition_054,front,35,20,220,0.42,soft,0.65,0.75,0.75,slightly_dark,backlight_rim,true
condition_055,right45,300,70,130,0.5,hard,0.1,0.75,0.75,,,false
condition_056,right45,300,160,130,0.25,hard,0.1,0.75,0.75,,,false
condition_057,right25,32,0,0,0.08,hard,0.08,0.5,0.5,extreme_dark,near_black_offcenter_spot,true
condition_058,right45,420,160,50,0.5,hard,0.1,0.75,0.75,,,false
condition_059,right25,130,10,10,0.14,hard,0.08,0.5,0.5,dark,narrow_spot,true
condition_060,right25,190,15,15,0.16,hard,0.08,0.5,0.5,slightly_dark,narrow_spot,true
